Station Code,Distance from RM,Services from/to RM,Disruptions on path to RM
AC,156,0.0,244
AH,104,0.0,150
AHP,105,0.0,407
AHPR,107,0.0,409
AHZ,96,0.0,164
AKL,127,0.0,179
AKM,257,0.0,550
ALM,181,0.0,221
ALMB,187,0.0,352
ALMM,180,0.0,220
ALMO,189,0.0,352
ALMP,183,0.0,352
AMF,153,0.0,208
AMFS,156,0.0,448
AML,188,0.0,476
AMPO,178,0.0,220
AMR,210,14.806451612903226,493
AMRI,190,0.0,546
AMRN,211,1.3548387096774193,568
ANA,240,1.3548387096774193,579
APD,151,0.0,410
APDM,150,0.0,411
APDO,154,0.0,445
APG,320,0.0,580
APN,167,0.0,218
ARN,199,0.0,421
ASA,165,47.80645161290322,208
ASB,161,5.451612903225806,208
ASD,171,47.80645161290322,208
ASDL,178,0.0,487
ASDM,167,0.0,245
ASDZ,167,0.0967741935483871,211
ASHD,162,0.0,222
ASN,258,0.0,500
ASS,175,37.096774193548384,466
ASSP,168,0.0,259
ATN,156,0.0,444
AVAT,159,0.0,454
BD,110,0.0,62
BDE,40,36.70967741935484,3
BDG,159,0.0,209
BDM,301,0.0,569
BDPB,115,0.0,385
BET,62,0.0,62
BF,305,0.0,569
BGN,147,0.0,390
BHDV,138,0.0,199
BHV,141,0.0,208
BK,33,36.67741935483871,3
BKF,229,22.29032258064516,551
BKG,228,22.29032258064516,547
BKL,144,0.032258064516129,211
BL,242,0.0,505
BLL,193,0.0,503
BMN,126,0.0,410
BMR,60,35.32258064516129,87
BN,183,0.0,477
BNC,136,0.0,430
BNK,138,0.0,259
BNN,139,0.0,446
BNZ,134,0.0,430
BP,299,0.0,517
BR,25,35.32258064516129,34
BRD,149,0.0,502
BRN,156,0.0,232
BSD,113,0.0,178
BSK,173,0.0,299
BSKS,174,0.0,322
BSMZ,155,0.0,209
BTL,72,0.064516129032258,138
BV,200,0.0,526
BZL,179,0.0,421
CAS,198,14.806451612903226,490
CK,70,35.32258064516129,115
CL,114,0.0,178
CO,228,0.0,563
CPS,171,0.0,457
CVM,50,0.0,20
DA,199,0.0,546
DB,142,0.0,303
DDN,173,0.0,425
DDR,140,0.0,385
DDRS,143,0.0,502
DDZD,139,0.0,408
DEI,279,0.0,517
DID,123,0.0,407
DL,192,0.0,500
DLD,144,0.0,228
DLN,232,0.0,577
DMN,170,0.0,259
DMNZ,165,0.0,211
DN,53,0.0,86
DR,120,0.0,407
DRH,198,0.0,522
DRON,212,0.0,500
DRP,286,0.0,531
DT,174,0.0,455
DTC,134,0.0,427
DTCH,132,0.0,427
DTCP,173,0.0,455
DV,149,0.0,410
DVC,153,0.0,476
DVD,163,0.0,208
DVN,113,0.0,409
DVNK,185,0.0,316
DWE,292,0.0,517
DZ,324,0.0,598
DZW,323,0.0,598
EC,13,36.67741935483871,0
ED,121,0.0,407
EDC,123,0.0,429
EDN,55,0.0,4
EEM,331,0.0,597
EGH,49,0.0,19
EGHM,50,0.0,19
EHS,53,0.0,62
EHV,52,66.12903225806451,0
EKZ,232,22.29032258064516,559
EML,176,0.0,451
EMN,248,0.0,578
EMNZ,244,0.0,577
ES,186,0.0,477
ESK,182,0.0,477
EST,93,0.0,150
ETN,121,0.0,385
FN,292,0.0,517
FWD,289,0.0,517
GBG,221,0.0,563
GD,164,0.0,208
GDG,161,0.0,208
GDM,106,0.1290322580645161,135
GDR,139,0.0,444
GERP,284,0.0,553
GK,305,0.0,568
GLN,29,0.0,2
GN,286,0.0,553
GND,141,0.0,199
GNN,290,0.0,568
GO,163,0.0,417
GP,46,0.0,7
GR,132,0.0,197
GS,184,0.0,421
GV,182,0.0,556
GVC,183,0.0,571
GVM,187,0.0,571
GVMW,181,0.0,556
GW,262,0.0,507
GZ,100,0.0,77
HAD,194,0.0,503
HB,40,0.0,33
HBZM,144,0.0,209
HD,180,0.0,451
HDB,215,0.0,550
HDE,198,0.0,500
HDG,285,0.0,517
HDR,252,1.3548387096774193,588
HDRZ,251,1.3548387096774193,588
HFD,183,0.0,272
HGL,178,0.0,458
HGLG,176,0.0,458
HGLO,180,0.0,477
HGV,228,0.0,500
HGZ,297,0.0,576
HIL,200,0.0,316
HK,197,0.0,526
HKS,224,22.29032258064516,543
HLG,301,0.0,518
HLGH,302,0.0,522
HLM,190,0.0,466
HLMS,189,0.0,487
HLO,205,0.0,493
HM,62,0.0,114
HMBH,61,0.0,114
HMBV,62,0.0,62
HMH,63,0.0,118
HMN,107,0.0,164
HN,214,22.29032258064516,487
HNK,215,22.29032258064516,543
HNO,192,0.0,500
HNP,317,0.0,520
HON,168,0.0,476
HOR,144,0.0,208
HR,246,0.0,500
HRL,44,28.161290322580644,2
HRLW,46,0.0,19
HRN,280,0.0,553
HRT,35,0.0,86
HT,84,48.67741935483871,62
HTN,124,0.0,231
HTNC,123,0.0,231
HTO,85,0.0,135
HVL,149,0.0,447
HVS,150,0.0,208
HVSM,151,0.0,209
HVSP,149,0.0,208
HWD,217,1.3548387096774193,569
HWZB,182,0.0,487
HZE,41,0.0,2
IJT,300,0.0,518
KBD,166,0.0,421
KBK,142,0.0,410
KLP,128,0.0,429
KMA,189,0.0,500
KMR,52,0.0,19
KMW,322,0.0,525
KPN,195,0.0,500
KPNZ,195,0.0,500
KRD,52,0.0,30
KRG,173,0.0,421
KTR,114,0.0,164
KW,294,0.0,574
KZ,183,0.0,490
LAA,184,0.0,571
LC,150,0.0,410
LDL,181,0.0,299
LDM,120,0.0,179
LEDN,182,0.0,306
LG,47,0.0,19
LLS,205,0.0,352
LLZM,177,0.0,293
LP,312,0.0,580
LTN,129,0.0,430
LTV,168,0.0,412
LUT,29,36.67741935483871,2
LW,275,0.0,500
LWC,278,0.0,517
MAS,139,0.0,208
MDB,203,0.0,421
MES,52,0.0,4
MG,285,0.0,517
MMLH,75,35.32258064516129,118
MP,208,0.0,500
MRB,207,0.0,547
MRN,150,0.0,335
MT,46,75.3225806451613,2
MTH,295,0.0,576
MTN,49,0.0,4
MTR,47,36.67741935483871,4
MZ,31,0.0,0
NDB,156,0.0,209
NH,37,0.0,33
NKK,164,0.0,448
NM,85,35.32258064516129,129
NMD,90,0.0,150
NMGO,88,0.0,150
NMH,82,35.32258064516129,129
NML,86,0.0,150
NS,192,0.0,448
NSCH,330,0.0,583
NVD,191,0.0,483
NVP,188,0.0,400
NWK,173,0.0,293
O,103,0.0,135
OBD,223,0.0,579
ODB,141,0.0,390
ODZ,189,0.0,477
OMN,203,0.0,507
OP,110,0.0,164
OST,159,0.0,476
OT,81,0.0,181
OTB,108,0.0,407
OVN,192,0.0,503
OW,102,0.0,138
PMO,196,0.0,488
PMR,195,0.0,487
PMW,194,0.0,490
PT,171,0.0,451
RAI,166,0.0,211
