station,distance,services_per_day,n_of_disruptions
AC,81,0,162
AH,108,0,93
AHP,107,0,97
AHPR,105,0,96
AHZ,116,0,350
AKL,145,0,356
AKM,109,0,64
ALM,49,35.096774193548384,14
ALMB,43,35.096774193548384,14
ALMM,50,35.096774193548384,145
ALMO,41,35.096774193548384,14
ALMP,47,35.096774193548384,19
AMF,96,0,158
AMFS,95,0,14
AML,77,0,26
AMPO,52,35.096774193548384,146
AMR,118,0,430
AMRI,79,0,96
AMRN,119,0,505
ANA,148,0,516
APD,78,0,14
APDM,79,0,49
APDO,75,0,90
APG,172,0,94
APN,133,0,286
ARN,276,0,542
ASA,76,0,148
ASB,76,0,148
ASD,79,35.096774193548384,145
ASDL,86,31.903225806451612,424
ASDM,75,35.096774193548384,153
ASDZ,78,0,145
ASHD,77,0,162
ASN,110,0.2903225806451613,14
ASS,83,31.903225806451612,403
ASSP,74,35.096774193548384,153
ATN,136,0,104
AVAT,92,0,20
BD,189,0,317
BDE,252,0,552
BDG,125,0,232
BDM,153,0,83
BDPB,194,0,640
BET,168,0,347
BF,157,0,83
BGN,224,0,511
BHDV,156,0,376
BHV,101,0,158
BK,245,0,552
BKF,137,0,488
BKG,136,0,484
BKL,103,0,165
BL,94,0.2903225806451613,19
BLL,101,0,440
BMN,86,0,90
BMR,152,0,385
BN,86,0,96
BNC,115,0,399
BNK,106,0,231
BNN,112,0,398
BNZ,117,0,415
BP,151,0,31
BR,187,0,414
BRD,165,0,401
BRN,87,0,158
BSD,131,0,355
BSK,139,0,367
BSKS,140,0,390
BSMZ,75,0,157
BTL,158,0,304
BV,108,0,463
BZL,256,0,542
CAS,106,0,427
CK,142,0,382
CL,116,0,259
CO,87,0,34
CPS,143,0,316
CVM,262,0,569
DA,74,0,24
DB,110,0,231
DDN,96,0,115
DDR,173,0,389
DDRS,170,0,387
DDZD,174,0,506
DEI,131,0,31
DID,125,0,102
DL,44,0,14
DLD,99,0,172
DLN,91,0,48
DMN,72,35.096774193548384,152
DMNZ,72,0,152
DN,200,0,370
DR,92,0,90
DRH,106,0,459
DRP,138,0,45
DT,142,0,294
DTC,136,0,122
DTCH,134,0,122
DTCP,143,0,395
DV,63,0,24
DVC,67,0,90
DVD,74,0,145
