Station Code,Distance from ASDL,Services from/to ASDL,Disruptions on path to ASDL
AC,22,0.0,293
AH,103,0.0,560
AHP,104,0.0,817
AHPR,106,0.0,819
AHZ,111,0.0,817
AKL,93,0.0,477
AKM,195,0.0,431
ALM,37,35.29032258064516,279
ALMB,43,35.29032258064516,410
ALMM,36,35.29032258064516,300
ALMO,45,35.29032258064516,410
ALMP,39,35.29032258064516,410
AMF,52,17.612903225806452,280
AMFS,55,14.806451612903226,520
AML,149,0.0,586
AMPO,34,35.29032258064516,300
AMR,38,0.0,27
AMRI,151,0.0,656
AMRN,39,0.0,102
ANA,68,0.0,113
APD,95,0.0,520
APDM,96,0.0,555
APDO,98,0.0,555
APG,258,0.0,509
APN,56,0.0,67
ARN,202,0.0,156
ASA,13,0.0,279
ASB,17,0.0,279
ASD,7,56.87096774193548,21
ASDL,0,0.0,0
ASDM,11,52.87096774193548,279
ASDZ,19,0.0,279
ASHD,18,0.0,293
ASN,196,0.0,435
ASS,3,83.03225806451613,0
ASSP,12,52.903225806451616,293
ATN,155,0.0,854
AVAT,58,14.806451612903226,526
BD,129,0.0,120
BDE,218,0.0,539
BDG,64,0.0,148
BDM,239,0.0,504
BDPB,124,0.0,242
BET,116,0.0,468
BF,243,0.0,504
BGN,150,0.0,125
BHDV,104,0.0,497
BHV,55,0.0,352
BK,211,0.0,539
BKF,57,0.6774193548387096,85
BKG,56,0.6774193548387096,81
BKL,44,0.0,296
BL,180,0.0,429
BLL,21,0.0,58
BMN,120,0.0,555
BMR,147,0.0,852
BN,158,0.0,656
BNC,71,0.0,521
BNK,54,0.0,352
BNN,68,0.0,520
BNZ,73,0.0,537
BP,237,0.0,441
BR,176,0.0,519
BRD,90,0.0,135
BRN,43,17.612903225806452,280
BSD,79,0.0,476
BSK,62,0.0,148
BSKS,63,0.0,171
BSMZ,31,17.612903225806452,311
BTL,106,0.0,425
BV,28,0.0,60
BZL,182,0.0,156
CAS,26,0.0,24
CK,137,0.0,849
CL,64,0.0,380
CO,173,0.0,455
CPS,87,0.0,256
CVM,228,0.0,556
DA,160,0.0,656
DB,58,0.0,352
DDN,153,0.0,570
DDR,99,0.0,120
DDRS,102,0.0,237
DDZD,100,0.0,237
DEI,217,0.0,441
DID,122,0.0,817
DL,130,0.0,435
DLD,55,0.0,294
DLN,177,0.0,469
DMN,14,52.903225806451616,293
DMNZ,17,0.0,319
DN,148,0.0,491
DR,119,0.0,817
DRH,26,0.0,77
DRON,86,32.70967741935484,424
DRP,224,0.0,455
DT,65,0.0,75
DTC,133,0.0,837
DTCH,131,0.0,837
DTCP,66,0.0,176
DV,110,0.0,520
DVC,114,0.0,586
DVD,15,0.0,316
DVN,112,0.0,819
DVNK,44,38.12903225806452,60
DWE,230,0.0,441
DZ,262,0.0,533
DZW,261,0.0,533
EC,191,0.0,536
ED,86,0.0,538
EDC,84,0.0,537
EDN,233,0.0,540
EEM,269,0.0,532
EGH,227,0.0,555
EGHM,228,0.0,555
EHS,125,0.0,544
EHV,126,0.0,425
EKZ,60,0.6774193548387096,93
EML,75,0.0,523
EMN,193,0.0,470
EMNZ,189,0.0,469
ES,166,0.0,622
ESK,162,0.0,622
EST,114,0.0,817
ETN,140,0.0,443
FN,230,0.0,441
FWD,227,0.0,441
GBG,166,0.0,455
