Station Code,Distance from TBG,Services from/to TBG,Disruptions on path to TBG
AC,118,0.0,400
AH,36,36.38709677419355,37
AHP,35,36.38709677419355,40
AHPR,37,0.0,42
AHZ,44,0.0,294
AKL,113,0.0,355
AKM,187,0.0,189
ALM,134,0.0,587
ALMB,140,0.0,718
ALMM,133,0.0,586
ALMO,142,0.0,718
ALMP,136,0.0,718
AMF,87,0.0,334
AMFS,90,0.0,574
AML,118,0.0,115
AMPO,131,0.0,586
AMR,171,0.0,873
AMRI,120,0.0,185
AMRN,172,0.0,948
ANA,201,0.0,959
APD,81,0.0,49
APDM,80,0.0,50
APDO,84,0.0,84
APG,250,0.0,219
APN,129,0.0,377
ARN,230,0.0,750
ASA,127,0.0,367
ASB,123,0.0,367
ASD,132,0.0,588
ASDL,139,0.0,846
ASDM,128,0.0,574
ASDZ,129,0.0,381
ASHD,122,0.0,527
ASN,188,0.0,139
ASS,136,0.0,846
ASSP,127,0.0,593
ATN,16,35.54838709677419,0
AVAT,93,0.0,580
BD,141,0.0,422
BDE,180,0.0,495
BDG,121,0.0,368
BDM,231,0.0,208
BDPB,146,0.0,745
BET,120,0.0,409
BF,235,0.0,208
BGN,178,0.0,750
BHDV,124,0.0,375
BHV,99,0.0,578
BK,173,0.0,496
BKF,190,0.0,931
BKG,189,0.0,927
BKL,106,0.0,367
BL,172,0.0,139
BLL,154,0.0,883
BMN,56,0.0,49
BMR,80,0.0,329
BN,113,0.0,116
BNC,68,0.0,317
BNK,86,0.0,348
BNN,71,0.0,333
BNZ,66,0.0,317
BP,229,0.0,156
BR,115,0.0,358
BRD,150,0.0,503
BRN,96,0.0,574
BSD,99,0.0,354
BSK,135,0.0,458
BSKS,136,0.0,481
BSMZ,108,0.0,575
BTL,110,0.0,409
BV,161,0.0,867
BZL,210,0.0,781
CAS,159,0.0,870
CK,70,0.0,326
CL,100,0.0,354
CO,158,0.0,202
CPS,139,0.0,452
CVM,190,0.0,513
DA,129,0.0,185
DB,82,0.0,316
DDN,103,0.0,64
DDR,141,0.0,386
DDRS,138,0.0,386
DDZD,142,0.0,503
DEI,209,0.0,156
DID,17,36.38709677419355,17
DL,122,0.0,139
DLD,96,0.0,574
DLN,162,0.0,216
DMN,125,0.0,592
DMNZ,125,0.0,575
DN,143,0.0,410
DR,50,0.0,46
DRH,159,0.0,884
DRON,142,0.0,139
DRP,216,0.0,170
DT,163,0.0,467
DTC,6,36.38709677419355,0
DTCH,8,36.38709677419355,17
DTCP,163,0.0,522
DV,79,0.0,49
DVC,83,0.0,115
DVD,125,0.0,367
DVN,27,36.38709677419355,37
DVNK,147,0.0,475
DWE,222,0.0,156
DZ,254,0.0,237
DZW,253,0.0,237
EC,153,0.0,493
ED,53,0.0,294
EDC,55,0.0,316
EDN,195,0.0,497
EEM,261,0.0,236
EGH,189,0.0,512
EGHM,190,0.0,512
EHS,129,0.0,485
EHV,130,0.0,409
EKZ,193,0.0,939
EML,110,0.0,574
EMN,178,0.0,217
EMNZ,174,0.0,216
ES,116,0.0,116
ESK,112,0.0,116
EST,47,0.0,294
ETN,152,0.0,745
FN,222,0.0,156
FWD,219,0.0,156
GBG,151,0.0,202
GD,126,0.0,367
GDG,123,0.0,367
GDM,92,0.0,311
GDR,1,36.38709677419355,0
GERP,214,0.0,192
GK,235,0.0,207
GLN,169,0.0,495
GN,216,0.0,192
GND,127,0.0,375
GNN,220,0.0,207
GO,93,0.0,56
GP,136,0.0,471
GR,118,0.0,373
GS,215,0.0,750
GV,155,0.0,452
GVC,154,0.0,370
GVM,155,0.0,560
GVMW,156,0.0,467
GW,192,0.0,196
GZ,131,0.0,424
HAD,155,0.0,867
HB,180,0.0,526
HBZM,130,0.0,385
HD,114,0.0,577
HDB,145,0.0,189
HDE,128,0.0,139
HDG,215,0.0,156
HDR,213,0.0,968
HDRZ,212,0.0,968
HFD,145,0.0,455
HGL,108,0.0,97
HGLG,106,0.0,97
HGLO,110,0.0,116
HGV,158,0.0,139
HGZ,227,0.0,215
HIL,162,0.0,475
HK,158,0.0,906
HKS,185,0.0,923
HLG,231,0.0,157
HLGH,232,0.0,161
HLM,151,0.0,846
HLMS,150,0.0,867
HLO,166,0.0,873
HM,143,0.0,452
HMBH,144,0.0,456
HMBV,140,0.0,471
HMH,142,0.0,471
HMN,61,0.0,308
HN,175,0.0,867
HNK,176,0.0,923
HNO,122,0.0,139
HNP,247,0.0,159
HON,98,0.0,49
HOR,106,0.0,367
HR,176,0.0,196
HRL,184,0.0,495
HRLW,186,0.0,512
HRN,210,0.0,192
HRT,125,0.0,410
HT,98,0.0,336
HTN,100,0.0,392
HTNC,101,0.0,420
HTO,97,0.0,336
HVL,81,0.0,334
HVS,103,0.0,574
HVSM,104,0.0,575
HVSP,104,0.0,575
HWD,178,0.0,949
HWZB,143,0.0,867
HZE,141,0.0,477
IJT,230,0.0,157
KBD,197,0.0,750
KBK,72,0.0,49
KLP,60,0.0,316
KMA,150,0.0,880
KMR,192,0.0,512
KMW,252,0.0,164
KPN,125,0.0,139
KPNZ,125,0.0,139
KRD,192,0.0,523
KRG,204,0.0,750
KTR,68,0.0,308
KW,224,0.0,213
KZ,144,0.0,870
LAA,155,0.0,399
LC,80,0.0,49
LDL,143,0.0,458
LDM,106,0.0,355
LEDN,144,0.0,465
LG,187,0.0,512
LLS,158,0.0,718
LLZM,139,0.0,452
LP,242,0.0,219
LTN,61,0.0,317
LTV,38,0.0,19
LUT,169,0.0,495
LW,205,0.0,139
LWC,208,0.0,156
MAS,101,0.0,367
MDB,234,0.0,777
MES,192,0.0,497
MG,215,0.0,156
MMLH,65,0.0,315
MP,138,0.0,139
MRB,137,0.0,186
MRN,90,0.0,348
MT,186,0.0,495
MTH,225,0.0,215
MTN,189,0.0,497
MTR,187,0.0,497
MZ,151,0.0,482
NDB,109,0.0,575
NH,177,0.0,526
NKK,98,0.0,574
NM,55,0.0,294
NMD,60,0.0,315
NMGO,58,0.0,315
NMH,58,0.0,315
NML,54,0.0,308
NS,126,0.0,574
NSCH,260,0.0,222
NVD,121,0.0,56
NVP,150,0.0,583
NWK,135,0.0,452
O,79,0.0,315
OBD,184,0.0,867
ODB,172,0.0,750
ODZ,119,0.0,116
OMN,133,0.0,146
OP,64,0.0,308
OST,89,0.0,115
OT,119,0.0,452
OTB,40,0.0,294
OVN,153,0.0,883
OW,80,0.0,336
PMO,157,0.0,846
PMR,156,0.0,867
PMW,155,0.0,870
PT,105,0.0,574
RAI,128,0.0,370
RAT,128,0.0,139
RB,194,0.0,781
RD,254,0.0,223
RH,44,0.0,43
RHN,113,0.0,351
RL,51,0.0,31
RLB,154,0.0,602
RM,140,0.0,444
RS,91,0.0,336
RSD,165,0.0,745
RSN,105,0.0,49
RSW,158,0.0,467
RTA,140,0.0,452
RTB,151,0.0,522
RTD,150,0.0,452
RTN,145,0.0,454
RTST,155,0.0,522
RTZ,154,0.0,522
RV,129,0.0,430
RVS,71,0.0,294
SBK,172,0.0,525
SD,100,0.0,588
SDA,243,0.0,213
SDM,154,0.0,522
SDT,131,0.0,385
SDTB,134,0.0,386
SGL,196,0.0,511
SGN,192,0.0,959
SHL,140,0.0,381
SK,227,0.0,156
SKND,226,0.0,156
SM,135,0.0,444
SN,174,0.0,526
SOG,194,0.0,512
SPTN,158,0.0,883
SPTZ,156,0.0,883
SRN,158,0.0,522
SSH,152,0.0,475
ST,101,0.0,588
STD,165,0.0,493
STM,238,0.0,219
STV,256,0.0,164
STZ,102,0.0,578
SWD,227,0.0,207
SWK,152,0.0,189
TB,120,0.0,409
TBG,0,0.0,0
TBR,125,0.0,422
TBU,121,0.0,422
TG,122,0.0,411
TL,80,0.0,311
TPSW,82,0.0,311
TWL,84,0.0,115
UHM,251,0.0,223
UHZ,248,0.0,223
UST,243,0.0,222
UT,94,0.0,294
UTG,155,0.0,905
UTLN,96,0.0,392
UTLR,97,0.0,367
UTO,97,0.0,367
UTT,99,0.0,367
UTVR,93,0.0,392
UTZL,96,0.0,367
VB,151,0.0,452
VD,61,0.0,31
VDL,188,0.0,512
VDM,243,0.0,220
VEM,67,0.0,49
VG,102,0.0,409
VH,152,0.0,475
VHP,131,0.0,186
VK,197,0.0,512
VL,117,0.0,410
VLB,87,0.0,357
VNDC,105,0.0,350
VNDW,104,0.0,350
VP,40,0.0,43
VRY,94,0.0,358
VS,240,0.0,777
VSS,239,0.0,750
VST,149,0.0,560
VSV,7,35.54838709677419,0
