Station Code,Distance from RHN,Services from/to RHN,Disruptions on path to RHN
AC,67,0.0,141
AH,77,0.0,57
AHP,78,0.0,314
AHPR,80,0.0,314
AHZ,85,0.0,314
AKL,88,0.0,204
AKM,207,0.0,412
ALM,92,0.0,121
ALMB,98,0.0,252
ALMM,91,0.0,120
ALMO,100,0.0,252
ALMP,94,0.0,252
AMF,64,0.0,108
AMFS,67,0.0,348
AML,161,0.0,414
AMPO,89,0.0,120
AMR,121,0.0,393
AMRI,163,0.0,484
AMRN,122,0.0,468
ANA,151,0.0,479
APD,107,0.0,348
APDM,108,0.0,383
APDO,110,0.0,383
APG,270,0.0,442
APN,78,0.0,118
ARN,219,0.0,357
ASA,76,0.0,108
ASB,72,0.0,35
ASD,82,0.0,108
ASDL,89,0.0,366
ASDM,78,0.0,145
ASDZ,78,0.0,49
ASHD,71,0.0,268
ASN,208,0.0,362
ASS,86,0.0,366
ASSP,79,0.0,159
ATN,129,0.0,351
AVAT,70,0.0,354
BD,132,0.0,289
BDE,213,0.0,370
BDG,70,0.0,109
BDM,251,0.0,431
BDPB,137,0.0,612
BET,111,0.0,276
BF,255,0.0,431
BGN,167,0.0,356
BHDV,99,0.0,224
BHV,52,0.0,108
BK,206,0.0,371
BKF,140,0.0,451
BKG,139,0.0,447
BKL,55,35.67741935483871,108
BL,192,0.0,362
BLL,104,0.0,403
BMN,99,0.0,317
BMR,121,0.0,92
BN,156,0.0,384
BNC,75,0.0,58
BNK,35,36.54838709677419,35
BNN,78,0.0,74
BNZ,73,0.0,58
BP,249,0.0,365
BR,156,0.0,121
BRD,110,0.0,269
BRN,67,0.0,132
BSD,74,0.0,203
BSK,84,0.0,199
BSKS,85,0.0,222
BSMZ,66,0.0,109
BTL,101,0.0,276
BV,111,0.0,387
BZL,199,0.0,387
CAS,109,0.0,390
CK,111,0.0,89
CL,59,0.0,107
CO,185,0.0,382
CPS,88,0.0,193
CVM,223,0.0,388
DA,172,0.0,484
DB,31,36.54838709677419,3
DDN,146,0.0,332
DDR,116,0.0,235
DDRS,113,0.0,235
DDZD,117,0.0,352
DEI,229,0.0,365
DID,96,0.0,314
DL,142,0.0,362
DLD,55,0.0,128
DLN,189,0.0,396
DMN,81,0.0,159
DMNZ,76,0.0,111
DN,143,0.0,323
DR,93,0.0,314
DRH,109,0.0,404
DRON,141,0.0,266
DRP,236,0.0,379
DT,112,0.0,208
DTC,107,0.0,334
DTCH,105,0.0,334
DTCP,112,0.0,263
DV,122,0.0,348
DVC,126,0.0,383
DVD,74,0.0,108
DVN,86,0.0,316
DVNK,96,0.0,216
DWE,242,0.0,365
DZ,274,0.0,460
DZW,273,0.0,460
