station,distance,services_per_day,n_of_disruptions
AC,193,0,420
AH,158,0,150
AHP,157,0,154
AHPR,155,0,153
AHZ,166,0,407
AKL,216,0,509
AKM,5,0,0
ALM,163,0,21
ALMB,157,0,21
ALMM,164,0,152
ALMO,155,0,71
ALMP,161,0,26
AMF,148,0,71
AMFS,145,0,71
AML,127,0,83
AMPO,166,0,153
AMR,232,0,437
AMRI,129,0,153
AMRN,233,0,512
ANA,262,0,523
APD,128,0,71
APDM,129,0,106
APDO,125,0,147
APG,101,0,44
APN,204,0,321
ARN,347,0,695
ASA,190,0,155
ASB,190,0,155
ASD,193,0,152
ASDL,200,0,431
ASDM,189,0,330
ASDZ,192,0,152
ASHD,191,0,169
ASN,95,0,32
ASS,197,0,410
ASSP,188,0,330
ATN,186,0,161
AVAT,142,0,77
BD,260,0,470
BDE,302,0,609
BDG,196,0,312
BDM,82,0,33
BDPB,265,0,793
BET,239,0,500
BF,86,0,33
BGN,295,0,664
BHDV,227,0,529
BHV,160,0,315
BK,295,0,609
BKF,251,0,495
BKG,250,0,491
BKL,181,0,387
BL,88,0,62
BLL,215,0,447
BMN,136,0,147
BMR,202,0,442
BN,136,0,153
BNC,167,0,312
BNK,177,0,384
BNN,164,0,311
BNZ,169,0,328
BP,37,0,17
BR,237,0,471
BRD,236,0,554
BRN,157,0,311
BSD,202,0,508
BSK,210,0,402
BSKS,211,0,425
BSMZ,169,0,312
BTL,229,0,457
BV,222,0,470
BZL,327,0,695
CAS,220,0,434
CK,192,0,439
CL,187,0,412
CO,137,0,91
CPS,214,0,469
CVM,312,0,626
DA,124,0,81
DB,181,0,384
DDN,146,0,172
DDR,244,0,542
DDRS,241,0,540
DDZD,245,0,659
DEI,17,0,17
DID,175,0,159
DL,94,0,71
DLD,157,0,311
DLN,141,0,105
DMN,186,0,329
DMNZ,186,0,329
DN,265,0,523
DR,142,0,147
DRH,220,0,466
DRON,114,0,71
DRP,24,0,31
DT,238,0,484
DTC,186,0,179
DTCH,184,0,179
DTCP,238,0,539
DV,113,0,81
DVC,117,0,147
DVD,188,0,152
DVN,165,0,156
DVNK,222,0,419
DWE,30,0,17
DZ,105,0,62
DZW,104,0,62
EC,275,0,606
ED,175,0,407
EDC,177,0,429
EDN,317,0,610
EEM,112,0,61
EGH,311,0,625
EGHM,312,0,625
EHS,248,0,576
EHV,249,0,457
EKZ,254,0,503
EML,125,0,74
EMN,157,0,106
EMNZ,153,0,105
ES,149,0,172
ESE,155,0,201
ESK,145,0,172
EST,169,0,407
ETN,271,0,793
FN,30,0,17
FWD,27,0,17
GBG,130,0,91
GBR,158,0,201
GD,201,0,384
GDG,198,0,312
GDM,195,0,465
GDR,191,0,196
GERP,69,0,32
GK,48,0,40
GLN,291,0,608
GN,67,0,17
GND,230,0,529
GNN,71,0,32
GO,156,0,205
GP,255,0,519
GR,221,0,527
GS,332,0,695
GV,230,0,469
GVC,229,0,469
GVM,230,0,504
GVMW,231,0,484
GZ,250,0,422
HAD,216,0,447
HB,302,0,589
HBZM,233,0,489
HD,121,0,21
HDB,124,0,28
HDE,100,0,21
HDG,23,0,17
HDR,274,0,532
HDRZ,273,0,532
HFD,208,0,276
HGL,141,0,103
HGLG,143,0,122
HGLO,143,0,122
HGV,74,0,93
HGZ,82,0,78
HIL,223,0,487
HK,219,0,470
HKS,246,0,487
HLG,39,0,18
HLGH,40,0,22
HLM,212,0,410
HLMS,211,0,431
HLO,227,0,437
HM,262,0,469
HMBH,263,0,473
HMBV,259,0,469
HMH,261,0,469
HMN,183,0,371
HN,236,0,431
HNK,237,0,487
HNO,94,0,21
HNP,55,0,20
HON,132,0,97
HOR,170,0,262
HR,16,0,0
HRL,306,0,558
HRLW,308,0,575
HRN,73,0,55
HRT,247,0,473
[HRY,inf,0,0
HT,217,0,334
HTN,177,0,334
HTNC,178,0,362
HTO,218,0,407
HVL,154,0,261
HVS,164,0,261
HVSM,165,0,262
HVSP,165,0,262
HWD,239,0,513
HWZB,204,0,431
HZE,260,0,475
IJT,38,0,18
KBD,314,0,645
KBK,137,0,57
KLP,182,0,379
KMA,211,0,444
KMR,314,0,575
KMW,60,0,25
KPN,97,0,21
KPNZ,97,0,21
KRD,314,0,586
KRG,321,0,645
KTR,190,0,371
KW,79,0,76
KZ,205,0,434
LAA,230,0,448
LC,146,0,97
LDL,218,0,352
LDM,209,0,459
LEDN,219,0,359
LEER,140,0,55
LG,309,0,575
LLS,139,0,7
LLZM,214,0,419
LP,93,0,67
LTN,174,0,278
LTV,164,0,99
LUT,291,0,558
LW,13,0,0
LWC,16,0,17
MAS,176,0,334
MDB,351,0,645
MES,314,0,560
MG,23,0,17
MMLH,187,0,378
MP,54,0,43
MRB,116,0,28
MRN,189,0,366
MT,308,0,558
MTH,80,0,78
MTN,311,0,560
MTR,309,0,560
MZ,270,0,480
[NEA,inf,0,0
NDB,170,0,262
NH,299,0,589
NKK,137,0,24
NM,177,0,357
NMD,182,0,378
NMGO,180,0,378
NMH,180,0,378
NML,176,0,371
NS,109,0,21
NSCH,115,0,85
NVD,114,0,21
NVP,213,0,404
NWK,210,0,419
O,201,0,378
OBD,245,0,523
ODB,275,0,614
ODZ,152,0,122
OMN,105,0,28
OP,186,0,371
OST,103,0,21
OT,238,0,450
OTB,162,0,357
OVN,214,0,447
OW,202,0,399
PMO,218,0,432
PMR,217,0,431
PMW,216,0,434
PT,130,0,38
RAI,191,0,155
RAT,100,0,21
RB,311,0,645
RD,105,0,71
RH,148,0,100
RHN,212,0,369
RL,151,0,99
RLB,232,0,498
RM,262,0,507
RS,213,0,399
RSD,282,0,609
RSN,130,0,33
RSW,233,0,434
RTA,215,0,419
RTB,226,0,489
RTD,225,0,419
RTN,220,0,421
RTST,230,0,498
RTZ,229,0,498
RV,251,0,493
RVS,193,0,357
SBK,294,0,588
SD,161,0,275
SDA,98,0,76
SDM,229,0,489
SDT,234,0,489
SDTB,237,0,490
SGL,318,0,574
SGN,253,0,523
SHL,203,0,226
SK,35,0,17
SKND,34,0,17
SM,257,0,507
SN,296,0,589
SOG,316,0,575
SPTN,219,0,465
SPTZ,217,0,465
SRN,280,0,585
SSH,224,0,404
ST,162,0,275
STD,287,0,556
STM,89,0,67
STV,64,0,25
STZ,163,0,265
SWD,78,0,55
SWK,40,0,0
TB,239,0,407
TBG,192,0,146
TBR,244,0,420
TBU,240,0,420
TG,244,0,474
TL,202,0,374
TPSW,204,0,374
TWL,118,0,97
UHM,102,0,71
UHZ,99,0,71
UST,94,0,70
UT,169,0,261
UTG,216,0,469
UTLN,173,0,334
UTLR,172,0,334
UTM,177,0,334
UTO,166,0,285
UTT,174,0,334
