station,distance,services_per_day,n_of_disruptions
AC,189,0,363
AH,154,0,93
AHP,153,0,97
AHPR,151,0,96
AHZ,162,0,350
AKL,212,0,452
AKM,99,0,50
ALM,159,0,25
ALMB,153,0,25
ALMM,160,0,156
ALMO,151,0,14
ALMP,157,0,30
AMF,144,0,14
AMFS,141,0,14
AML,123,0,26
AMPO,162,0,157
AMR,228,0,441
AMRI,125,0,96
AMRN,229,0,516
ANA,258,0,527
APD,124,0,14
APDM,125,0,49
APDO,121,0,90
APG,62,0,27
APN,200,0,264
ARN,343,0,638
ASA,186,0,159
ASB,186,0,159
ASD,189,0,156
ASDL,196,0,435
ASDM,185,0,273
ASDZ,188,0,156
ASHD,187,0,173
ASS,193,0,408
ASSP,184,0,273
ATN,182,0,104
AVAT,138,0,20
BD,256,0,413
BDE,298,0,552
BDG,192,0,255
BDM,43,0,16
BDPB,261,0,736
BET,235,0,443
BF,47,0,16
BGN,291,0,607
BHDV,223,0,472
BHV,156,0,258
BK,291,0,552
BKF,247,0,493
BKG,246,0,489
BKL,177,0,330
BL,16,0,0
BLL,211,0,445
BMN,132,0,90
BMR,198,0,385
BN,132,0,96
BNC,163,0,255
BNK,173,0,327
BNN,160,0,254
BNZ,165,0,271
BP,58,0,15
BR,233,0,414
BRD,232,0,497
BRN,153,0,254
BSD,198,0,451
BSK,206,0,345
BSKS,207,0,368
BSMZ,165,0,255
BTL,225,0,400
BV,218,0,468
BZL,323,0,638
CAS,216,0,432
CK,188,0,382
CL,183,0,355
CO,133,0,34
CPS,210,0,412
CVM,308,0,569
DA,120,0,24
DB,177,0,327
DDN,142,0,115
DDR,240,0,485
DDRS,237,0,483
DDZD,241,0,602
DEI,86,0,32
DID,171,0,102
DL,90,0,14
DLD,153,0,254
DLN,137,0,48
DMN,182,0,272
DMNZ,182,0,272
DN,261,0,466
DR,138,0,90
DRH,216,0,464
DRON,110,0,14
DRP,93,0,46
DT,234,0,427
DTC,182,0,122
DTCH,180,0,122
DTCP,234,0,482
DV,109,0,24
DVC,113,0,90
DVD,184,0,150
DVN,161,0,99
DVNK,218,0,362
DWE,65,0,38
DZ,66,0,45
DZW,65,0,45
EC,271,0,549
ED,171,0,350
EDC,173,0,372
EDN,313,0,553
EEM,73,0,44
EGH,307,0,568
EGHM,308,0,568
EHS,244,0,519
EHV,245,0,400
EKZ,250,0,501
EML,121,0,17
EMN,153,0,49
EMNZ,149,0,48
ES,145,0,115
ESE,151,0,144
ESK,141,0,115
EST,165,0,350
ETN,267,0,736
FN,99,0,32
FWD,68,0,15
GBG,126,0,34
GBR,154,0,144
GD,197,0,327
GDG,194,0,327
GDM,191,0,408
GDR,187,0,139
GERP,26,0,0
GK,47,0,15
GLN,287,0,551
GN,28,0,0
GND,226,0,472
GNN,32,0,15
GO,152,0,148
GP,251,0,462
GR,217,0,470
GS,328,0,638
GV,226,0,412
GVC,225,0,412
GVM,226,0,447
GVMW,227,0,427
GW,95,0,32
GZ,246,0,415
HAD,212,0,445
HB,298,0,582
HBZM,229,0,482
HD,117,0,14
HDB,120,0,21
HDE,96,0,14
HDG,72,0,15
HDR,270,0,530
HDRZ,269,0,530
HFD,204,0,274
HGL,137,0,96
HGLG,139,0,115
HGLO,139,0,115
HGV,30,0,0
HGZ,39,0,23
HIL,219,0,485
HK,215,0,468
HKS,242,0,485
HLG,108,0,33
HLGH,109,0,37
HLM,208,0,408
HLMS,207,0,429
HLO,223,0,435
HM,258,0,462
HMBH,259,0,466
HMBV,255,0,462
HMH,257,0,462
HMN,179,0,364
HN,232,0,429
HNK,233,0,485
HNO,90,0,14
HNP,124,0,35
HON,128,0,90
HOR,166,0,255
HR,88,0,57
HRL,302,0,551
HRLW,304,0,568
HRN,22,0,0
HRT,243,0,466
[HRY,inf,0,0
HT,213,0,327
HTN,173,0,327
HTNC,174,0,355
HTO,214,0,400
HVL,150,0,254
HVS,160,0,254
HVSM,161,0,255
HVSP,161,0,255
HWD,235,0,511
HWZB,200,0,429
HZE,256,0,468
IJT,107,0,33
KBD,310,0,638
KBK,133,0,50
KLP,178,0,372
KMA,207,0,442
KMR,310,0,568
KMW,129,0,40
KPN,93,0,14
KPNZ,93,0,14
KRD,310,0,579
KRG,317,0,638
KTR,186,0,364
KW,36,0,21
KZ,201,0,432
LAA,226,0,441
LC,142,0,90
LDL,214,0,345
LDM,205,0,452
LEDN,215,0,352
LEER,97,0,39
LG,305,0,568
LLS,135,0,5
LLZM,210,0,412
LP,54,0,27
LTN,170,0,271
LTV,160,0,92
LUT,287,0,551
LW,82,0,15
LWC,79,0,25
MAS,172,0,327
MDB,347,0,638
MES,310,0,553
MG,92,0,32
MMLH,183,0,371
MP,50,0,0
MRB,112,0,21
MRN,185,0,359
MT,304,0,551
MTH,37,0,23
MTN,307,0,553
MTR,305,0,553
MZ,266,0,473
[NEA,inf,0,0
NDB,166,0,255
NH,295,0,582
NKK,133,0,17
NM,173,0,350
NMD,178,0,371
NMGO,176,0,371
NMH,176,0,371
NML,172,0,364
NS,105,0,14
NSCH,72,0,30
NVD,110,0,14
NVP,209,0,402
NWK,206,0,412
O,197,0,371
OBD,241,0,521
ODB,271,0,607
ODZ,148,0,115
OMN,101,0,21
OP,182,0,364
OST,99,0,14
OT,234,0,443
OTB,158,0,350
OVN,210,0,445
OW,198,0,392
PMO,214,0,430
PMR,213,0,429
PMW,212,0,432
PT,126,0,31
RAI,187,0,153
RAT,96,0,14
RB,307,0,638
RD,66,0,31
RH,144,0,93
RHN,208,0,362
RL,147,0,92
RLB,228,0,491
RM,258,0,500
RS,209,0,392
RSD,278,0,602
RSN,126,0,26
RSW,229,0,427
RTA,211,0,412
RTB,222,0,482
RTD,221,0,412
RTN,216,0,414
RTST,226,0,491
RTZ,225,0,491
RV,247,0,486
RVS,189,0,350
SBK,290,0,581
SD,157,0,268
SDA,55,0,21
SDM,225,0,482
SDT,230,0,482
SDTB,233,0,483
SGL,314,0,567
SGN,249,0,521
SHL,199,0,224
SK,104,0,32
SKND,103,0,32
SM,253,0,500
SN,292,0,582
SOG,312,0,568
SPTN,215,0,463
SPTZ,213,0,463
SRN,276,0,578
SSH,220,0,402
