station,distance,services_per_day,n_of_disruptions
AC,193,0,326
AH,141,0,232
AHP,142,0,489
AHPR,144,0,491
AHZ,133,0,246
AKL,164,0,261
AKM,294,0,632
ALM,218,0,303
ALMB,224,0,434
ALMM,217,0,302
ALMO,226,0,434
ALMP,220,0,434
AMF,190,0,290
AMFS,193,0,530
AML,225,0,558
AMPO,215,0,302
AMR,247,0,575
AMRI,227,0,628
AMRN,248,0,650
ANA,277,0,661
APD,188,0,492
APDM,187,0,493
APDO,191,0,527
APG,357,0,662
APN,204,0,300
ARN,236,0,503
ASA,202,0,290
ASB,198,0,290
ASD,208,0,290
ASDL,215,0,569
ASDM,204,0,327
ASDZ,204,0,293
ASHD,199,0,304
ASN,295,0,582
ASS,212,0,548
ASSP,205,0,341
ATN,193,0,526
AVAT,196,0,536
BD,147,0,144
BDE,27,0,34
BDG,196,0,291
BDM,338,0,651
BDPB,152,0,467
BET,99,0,144
BF,342,0,651
BGN,184,0,472
BHDV,175,0,281
BHV,178,0,290
BK,20,0,34
BKF,266,0,633
BKG,265,0,629
BKL,181,0,293
BL,279,0,587
BLL,230,0,585
BMN,163,0,492
BMR,97,0,169
BN,220,0,559
BNC,173,0,512
BNK,175,0,341
BNN,176,0,528
BNZ,171,0,512
BP,336,0,599
BR,62,0,116
BRD,186,0,584
BRN,193,0,314
BSD,150,0,260
BSK,210,0,381
BSKS,211,0,404
BSMZ,192,0,291
BTL,109,0,220
BV,237,0,608
BZL,216,0,503
CAS,235,0,572
CK,107,0,197
CL,151,0,260
CO,265,0,645
CPS,208,0,539
CVM,13,0,18
DA,236,0,628
DB,179,0,385
DDN,210,0,507
DDR,177,0,467
DDRS,180,0,584
DDZD,176,0,490
DEI,316,0,599
DID,160,0,489
DL,229,0,582
DLD,181,0,310
DLN,269,0,659
DMN,207,0,341
DMNZ,202,0,293
DN,90,0,168
DR,157,0,489
DRH,235,0,604
DRON,249,0,582
DRP,323,0,613
DT,211,0,537
DTC,171,0,509
DTCH,169,0,509
DTCP,210,0,537
DV,186,0,492
DVC,190,0,558
DVD,200,0,290
DVN,150,0,491
DVNK,222,0,398
DWE,329,0,599
DZ,361,0,680
DZW,360,0,680
EC,24,0,35
ED,158,0,489
EDC,160,0,511
EDN,42,0,19
EEM,368,0,679
EGH,12,0,17
EGHM,13,0,17
EHS,90,0,144
EHV,89,0,82
EKZ,269,0,641
EML,213,0,533
EMN,285,0,660
EMNZ,281,0,659
ES,223,0,559
ESE,229,0,588
ESK,219,0,559
EST,130,0,232
ETN,158,0,467
FN,329,0,599
FWD,326,0,599
GBG,258,0,645
GBR,232,0,588
GD,201,0,290
GDG,198,0,290
GDM,143,0,217
GDR,176,0,526
GERP,321,0,635
GK,342,0,650
GLN,8,26.64516129032258,1
GN,323,0,635
GND,178,0,281
GNN,327,0,650
GO,200,0,499
GP,83,0,89
GR,169,0,279
GS,221,0,503
GV,219,0,638
GVC,220,0,653
GVM,224,0,653
GVMW,218,0,638
GW,299,0,589
GZ,137,0,159
HAD,231,0,585
HB,3,26.612903225806452,0
HBZM,181,0,291
HD,217,0,533
HDB,252,0,632
HDE,235,0,582
HDG,322,0,599
HDR,289,0,670
HDRZ,288,0,670
HFD,220,0,354
HGL,215,0,540
HGLG,213,0,540
HGLO,217,0,559
HGV,265,0,582
HGZ,334,0,658
HIL,237,0,398
HK,234,0,608
HKS,261,0,625
HLG,338,0,600
HLGH,339,0,604
HLM,227,0,548
HLMS,226,0,569
HLO,242,0,575
HM,99,0,196
HMBH,98,0,196
HMBV,99,0,144
HMH,100,0,200
HMN,144,0,246
HN,251,0,569
HNK,252,0,625
HNO,229,0,582
HNP,354,0,602
HON,205,0,558
HOR,181,0,290
HR,283,0,582
HRL,7,26.612903225806452,0
HRLW,9,0,17
HRN,317,0,635
HRT,72,0,168
HT,121,0,144
HTN,161,0,313
HTNC,160,0,313
HTO,122,0,217
HVL,186,0,529
HVS,187,0,290
HVSM,188,0,291
HVSP,186,0,290
HWD,254,0,651
HWZB,219,0,569
HZE,78,0,84
IJT,337,0,600
KBD,203,0,503
KBK,179,0,492
KLP,165,0,511
KMA,226,0,582
KMR,15,0,17
KMW,359,0,607
KPN,232,0,582
KPNZ,232,0,582
KRD,15,0,28
KRG,210,0,503
KTR,151,0,246
KW,331,0,656
KZ,220,0,572
LAA,221,0,653
LC,187,0,492
LDL,218,0,381
LDM,157,0,261
LEDN,219,0,388
LEER,392,0,674
LG,10,0,17
LLS,242,0,434
LLZM,214,0,375
LP,349,0,662
LTN,166,0,512
LTV,205,0,494
LUT,16,0,33
LW,312,0,582
LWC,315,0,599
MAS,176,0,290
MDB,240,0,503
MES,27,0,17
MG,322,0,599
MMLH,112,0,200
MP,245,0,582
MRB,244,0,629
MRN,187,0,417
MT,33,0,17
MTH,332,0,658
MTN,30,0,31
MTR,34,0,19
MZ,68,0,82
NDB,193,0,291
NKK,201,0,530
NM,122,0,211
NMD,127,0,232
NMGO,125,0,232
NMH,119,0,211
NML,123,0,232
NS,229,0,530
NSCH,367,0,665
NVD,228,0,565
NVP,225,0,482
NWK,210,0,375
O,140,0,217
OBD,260,0,661
ODB,178,0,472
ODZ,226,0,559
OMN,240,0,589
OP,147,0,246
OST,196,0,558
OT,118,0,263
OTB,145,0,489
OVN,229,0,585
OW,139,0,220
PMO,233,0,570
PMR,232,0,569
PMW,231,0,572
PT,208,0,533
RAI,203,0,293
RAT,235,0,582
RB,200,0,503
RD,361,0,666
RH,151,0,492
RHN,210,0,420
RL,192,0,494
RLB,190,0,683
RM,37,0,33
RS,128,0,220
RSD,171,0,467
RSN,212,0,558
RSW,216,0,638
RTA,207,0,537
RTB,196,0,584
RTD,197,0,467
RTN,202,0,537
RTST,192,0,689
RTZ,193,0,689
RV,48,0,82
RVS,138,0,232
SBK,5,26.64516129032258,0
SD,189,0,314
SDA,350,0,656
SDM,201,0,537
SDT,182,0,291
SDTB,184,0,586
SGL,23,0,17
SGN,268,0,661
SHL,215,0,304
SK,334,0,599
SKND,333,0,599
SM,42,0,82
SN,3,26.64516129032258,0
SOG,17,0,17
SPTN,234,0,603
SPTZ,232,0,603
SRN,19,0,33
SSH,227,0,398
ST,188,0,314
