Station Code,distance_SWD,services_per_day_SWD,n_of_disruptions_SWD
AC,228,0,431
AH,193,0,161
AHP,192,0,165
AHPR,190,0,164
AHZ,201,0,418
AKL,251,0,520
AKM,83,0,57
ALM,198,0,93
ALMB,192,0,93
ALMM,199,0,224
ALMO,190,0,82
ALMP,196,0,98
AMF,183,0,82
AMFS,180,0,82
AML,162,0,94
AMPO,201,0,225
AMR,267,0,509
AMRI,164,0,164
AMRN,268,0,584
ANA,297,0,595
APD,163,0,82
APDM,164,0,117
APDO,160,0,158
APG,23,31.096774193548388,11
APN,239,0,332
ARN,382,0,706
ASA,225,0,227
ASB,225,0,227
ASD,228,0,224
ASDL,235,0,503
ASDM,224,0,341
ASDZ,227,0,224
ASHD,226,0,241
ASN,39,0,15
ASS,232,0,482
ASSP,223,0,341
ATN,221,0,172
AVAT,177,0,88
BD,295,0,481
BDE,337,0,620
BDG,231,0,323
BDM,4,31.096774193548388,0
BDPB,300,0,804
BET,274,0,511
BF,8,33.935483870967744,0
BGN,330,0,675
BHDV,262,0,540
BHV,195,0,326
BK,330,0,620
BKF,286,0,567
BKG,285,0,563
BKL,216,0,398
BL,55,0,68
BLL,250,0,519
BMN,171,0,158
BMR,237,0,453
BN,171,0,164
BNC,202,0,323
BNK,212,0,395
BNN,199,0,322
BNZ,204,0,339
BP,41,0,15
BR,272,0,482
BRD,271,0,565
BRN,192,0,322
BSD,237,0,519
BSK,245,0,413
BSKS,246,0,436
BSMZ,204,0,323
BTL,264,0,468
BV,257,0,542
BZL,362,0,706
CAS,255,0,506
CK,227,0,450
CL,222,0,423
CO,172,0,102
CPS,249,0,480
CVM,347,0,637
DA,159,0,92
DB,216,0,395
DDN,181,0,183
DDR,279,0,553
DDRS,276,0,551
DDZD,280,0,670
DEI,69,0,55
DID,210,0,170
DL,129,0,82
DLD,192,0,322
DLN,176,0,116
DMN,221,0,340
DMNZ,221,0,340
DN,300,0,534
DR,177,0,158
DRH,255,0,538
DRON,149,0,82
DRP,76,0,69
DT,273,0.12903225806451613,495
DTC,221,0,190
DTCH,219,0,190
DTCP,273,0,550
DV,148,0,92
DVC,152,0,158
DVD,223,0,224
DVN,200,0,167
DVNK,257,0,430
DWE,48,0,38
DZ,27,31.096774193548388,29
DZW,26,31.096774193548388,29
EC,310,0,617
ED,210,0,418
EDC,212,0,440
EDN,352,0,621
EEM,34,4.709677419354839,28
EGH,346,0,636
EGHM,347,0,636
EHS,283,0,587
EHV,284,0,468
EKZ,289,0,575
EML,160,0,85
EMN,192,0,117
EMNZ,188,0,116
ES,184,0,183
ESK,180,0,183
EST,204,0,418
ETN,306,0,804
FN,82,0,55
FWD,51,0,38
GBG,165,0,102
GD,236,0,395
GDG,233,0,323
GDM,230,0,476
GDR,226,0,207
GERP,13,0,15
GK,30,0,15
GLN,326,0,619
GN,11,65.12903225806451,0
GND,265,0,540
GNN,7,65.09677419354838,0
GO,191,0,216
