station,distance,services_per_day,n_of_disruptions
AC,88,0,349
AH,47,0,3
AHP,46,0,7
AHPR,44,0,6
AHZ,55,0,260
AKL,111,0,438
AKM,123,0,64
ALM,90,0,253
ALMB,96,0,384
ALMM,89,0,252
ALMO,98,0,384
ALMP,92,0,384
AMF,43,0,0
AMFS,46,0,240
AML,54,0,66
AMPO,87,0,252
AMR,127,0,526
AMRI,56,0,136
AMRN,128,0,601
ANA,157,0,612
APDM,1,0,0
APDO,3,0,0
APG,186,0,94
APN,99,0,250
ARN,241,0,747
ASA,85,0,244
ASB,85,0,244
ASD,88,0,241
ASDL,95,0,520
ASDM,84,0,259
ASDZ,87,0,244
ASHD,86,0,258
ASN,124,0,14
ASS,92,0,499
ASSP,83,0,259
ATN,75,0,14
AVAT,49,0,246
BD,152,0,388
BDE,191,0,462
BDG,91,0,241
BDM,167,0,83
BDPB,157,0,711
BET,131,0,418
BF,171,0,83
BGN,189,0,716
BHDV,122,0,458
BHV,55,0,244
BK,184,0,462
BKF,146,0,584
BKG,145,0,580
BKL,76,0,316
BL,108,0,19
BLL,110,0,536
BMN,25,0,0
BMR,91,0,295
BN,63,0,136
BNC,62,0,241
BNK,72,0,313
BNN,59,0,240
BNZ,64,0,257
BP,165,0,31
BR,126,0,324
BRD,131,0,483
BRN,52,0,240
BSD,97,0,437
BSK,105,0,331
BSKS,106,0,354
BSMZ,64,0,241
BTL,121,0,375
BV,117,0,559
BZL,221,0,747
CAS,115,0,523
CK,81,0,292
CL,82,0,341
CO,94,0,153
CPS,109,0,398
CVM,201,0,479
DA,65,0,136
DB,76,0,313
DDN,58,0,15
DDR,139,0,471
DDRS,136,0,469
DDZD,140,0,588
DEI,145,0,31
DID,64,0,12
DL,58,0,14
DLD,52,0,240
DLN,98,0,167
DMN,81,0,258
DMNZ,81,0,258
DN,154,0,376
DR,31,0,0
DRH,115,0,555
DRON,78,0,14
DRP,152,0,45
DT,133,0,413
DTC,75,0,32
DTCH,73,0,32
DTCP,133,0,468
DV,15,0,0
DVC,19,0,66
DVD,83,0,241
DVN,54,0,9
DVNK,117,0,348
DWE,158,0,31
DZ,190,0,112
DZW,189,0,112
EC,164,0,459
ED,64,0,260
EDC,66,0,282
EDN,206,0,463
EEM,197,0,111
EGH,200,0,478
EGHM,201,0,478
EHS,140,0,494
EHV,141,0,375
EKZ,149,0,592
EML,66,0,243
EMN,114,0,168
EMNZ,110,0,167
ES,71,0,67
ESE,77,0,96
ESK,67,0,67
EST,58,0,260
ETN,163,0,711
FN,158,0,31
FWD,155,0,31
GBG,87,0,153
GBR,80,0,96
GD,96,0,313
GDG,93,0,313
GDM,90,0,394
GDR,80,0,49
GERP,150,0,67
GK,171,0,82
GLN,180,0,461
GN,152,0,67
GND,125,0,458
GNN,156,0,82
GO,48,0,7
GP,147,0,437
GR,116,0,456
GS,226,0,747
GV,125,0,398
GVC,124,0,398
GVM,125,0,433
GVMW,126,0,413
GW,128,0,71
GZ,142,0,390
HAD,111,0,536
HB,191,0,492
HBZM,128,0,468
HD,70,0,243
HDB,81,0,140
HDE,64,0,14
HDG,151,0,31
HDR,169,0,621
HDRZ,168,0,621
HFD,103,0,368
HGL,63,0,48
HGLG,61,0,48
HGLO,65,0,67
