Station Code,Distance from TBU,Services from/to TBU,Disruptions on path to TBU
AC,95,0.0,119
AH,85,8.35483870967742,110
AHP,86,0.0,367
AHPR,88,0.0,367
AHZ,77,7.354838709677419,142
AKL,66,0.0,130
AKM,235,0.0,463
ALM,120,0.0,172
ALMB,126,0.0,303
ALMM,119,0.0,171
ALMO,128,0.0,303
ALMP,122,0.0,303
AMF,92,0.0,159
AMFS,95,0.0,399
AML,169,0.0,436
AMPO,117,0.0,171
AMR,149,0.0,444
AMRI,171,0.0,506
AMRN,150,0.0,519
ANA,179,0.0,530
APD,132,0.0,370
APDM,131,0.0,371
APDO,135,0.0,405
APG,298,0.0,493
APN,106,0.0,169
ARN,109,0.0,349
ASA,104,0.0,159
ASB,100,0.0,159
ASD,110,0.0,159
ASDL,117,0.0,417
ASDM,106,0.0,196
ASDZ,106,0.0,173
ASHD,99,0.0,246
ASN,236,0.0,413
ASS,114,0.0,417
ASSP,107,0.0,210
ATN,137,0.0,404
AVAT,98,0.0,405
BD,20,30.096774193548388,21
BDE,130,0.0,107
BDG,98,0.0,160
BDM,279,0.0,482
BDPB,25,29.193548387096776,344
BET,28,29.483870967741936,56
BF,283,0.0,482
BGN,57,0.0,349
BHDV,67,0.0,472
BHV,80,0.0,159
BK,123,0.0,108
BKF,168,0.0,502
BKG,167,0.0,498
BKL,83,0.0,86
BL,220,0.0,413
BLL,132,0.0,454
BMN,107,0.0,370
BMR,91,0.0,142
BN,164,0.0,437
BNC,111,0.0,400
BNK,77,0.0,210
BNN,108,0.0,399
BNZ,113,0.0,416
BP,277,0.0,416
BR,88,0.0,88
BRD,59,0.0,461
BRN,95,0.0,183
BSD,52,0.0,129
BSK,106,0.0,499
BSKS,105,0.0,499
BSMZ,94,0.0,160
BTL,18,29.483870967741936,13
BV,139,0.0,438
BZL,89,0.0,380
CAS,137,0.0,441
CK,81,0.0,139
CL,53,0.0,129
CO,209,0.0,523
CPS,81,0.0,416
CVM,140,0.0,125
DA,180,0.0,506
DB,81,0.0,254
DDN,154,0.0,385
DDR,50,29.193548387096776,344
DDRS,53,0.0,461
DDZD,49,29.193548387096776,367
DEI,257,0.0,416
DID,104,0.0,367
DL,170,0.0,413
DLD,83,0.0,179
DLN,213,0.0,537
DMN,109,0.0,210
DMNZ,104,0.0,162
DN,60,0.0,60
DR,101,1.0,367
DRH,137,0.0,455
DRON,169,0.0,317
DRP,264,0.0,430
DT,84,0.0,461
DTC,115,0.0,387
DTCH,113,0.0,387
DTCP,83,0.0,414
DV,130,0.935483870967742,370
DVC,134,0.0,436
DVD,102,0.0,159
DVN,94,0.0,369
DVNK,105,0.0,580
DWE,270,0.0,416
DZ,302,0.0,511
DZW,301,0.0,511
EC,103,0.0,105
ED,102,0.0,367
EDC,104,0.0,389
EDN,145,0.0,109
EEM,309,0.0,510
EGH,139,0.0,124
EGHM,140,0.0,124
EHS,37,29.483870967741936,132
EHV,38,29.483870967741936,13
EKZ,171,0.0,510
EML,115,0.0,399
EMN,229,0.0,538
EMNZ,225,0.0,537
ES,167,0.0,437
ESK,163,0.0,437
EST,74,7.354838709677419,128
ETN,31,0.1290322580645161,344
FN,270,0.0,416
FWD,267,0.0,416
GBG,202,0.0,523
GD,94,0.0,414
GDG,97,0.0,499
GDM,45,0.0,86
GDR,120,0.0,404
GERP,262,0.0,466
GK,283,0.0,481
GLN,119,0.0,107
GN,264,0.0,466
GND,64,0.0,462
GNN,268,0.0,481
GO,144,0.0,377
GP,44,28.516129032258064,75
GR,71,0.0,148
GS,94,0.0,349
GV,92,0.0,562
GVC,93,0.0,577
GVM,97,0.0,577
GVMW,91,0.0,562
GW,240,0.0,470
GZ,10,30.096774193548388,2
HAD,133,0.0,438
HB,130,0.0,138
HBZM,61,0.0,462
HD,119,0.0,402
HDB,196,0.0,510
HDE,140,0.0,399
HDG,263,0.0,416
HDR,191,0.0,539
HDRZ,190,0.0,539
HFD,122,0.0,247
HGL,159,0.0,418
HGLG,157,0.0,418
HGLO,161,0.0,437
HGV,206,0.0,413
HGZ,275,0.0,489
HIL,126,0.0,587
HK,136,0.0,477
HKS,163,0.0,494
HLG,279,0.0,417
HLGH,280,0.0,421
HLM,129,0.0,417
HLMS,128,0.0,438
HLO,144,0.0,444
HM,51,0.0,56
HMBH,52,0.0,60
HMBV,48,0.0,75
HMH,50,0.0,75
HMN,76,0.0,132
HN,153,0.0,438
HNK,154,0.0,494
HNO,170,0.0,413
HNP,295,0.0,419
HON,149,0.0,370
HOR,83,0.0,159
HR,224,0.0,470
HRL,134,0.0,107
HRLW,136,0.0,124
HRN,258,0.0,466
HRT,78,0.0,88
HT,23,29.161290322580644,13
HTN,63,0.0,182
HTNC,62,0.0,182
HTO,24,27.41935483870968,86
HVL,98,0.0,399
HVS,89,0.0,159
HVSM,90,0.0,160
HVSP,88,0.0,159
HWD,156,0.0,520
HWZB,121,0.0,438
HZE,49,28.516129032258064,81
IJT,278,0.0,417
KBD,76,0.0,349
KBK,123,0.0,370
KLP,103,0.0,286
KMA,128,0.0,451
KMR,142,0.0,124
KMW,300,0.0,424
KPN,173,0.0,413
KPNZ,173,0.0,413
KRD,142,0.0,135
KRG,83,0.0,349
KTR,69,0.0,129
KW,272,0.0,487
KZ,122,0.0,441
LAA,94,0.0,577
LC,131,0.0,370
LDL,109,0.0,587
LDM,59,0.0,130
LEDN,108,0.0,577
LG,137,0.0,124
LLS,144,0.0,303
LLZM,107,0.0,499
LP,290,0.0,493
LTN,110,0.0,390
LTV,149,0.0,372
LUT,119,0.0,107
LW,253,0.0,399
LWC,256,0.0,416
MAS,78,0.0,159
MDB,113,0.0,376
MES,142,0.0,109
MG,263,0.0,416
MMLH,76,0.0,128
MP,186,0.0,413
MRB,188,0.0,507
MRN,89,0.0,286
MT,136,0.0,107
MTH,273,0.0,489
MTN,139,0.0,109
MTR,137,0.0,109
MZ,59,28.516129032258064,86
NDB,95,0.0,160
NH,127,0.0,138
NKK,103,0.0,399
NM,66,28.41935483870968,107
NMD,61,27.41935483870968,110
NMGO,63,27.41935483870968,111
NMH,69,0.0,128
NML,67,7.354838709677419,128
NS,131,0.0,399
NSCH,308,0.0,496
NVD,172,0.0,377
NVP,127,0.0,375
NWK,85,0.0,472
O,42,28.41935483870968,86
OBD,162,0.0,438
ODB,51,0.0,349
ODZ,170,0.0,437
OMN,181,0.0,420
OP,73,0.0,132
OST,140,0.935483870967742,436
OT,9,29.483870967741936,13
OTB,89,0.0,367
OVN,131,0.0,454
OW,41,27.41935483870968,86
PMO,135,0.0,417
PMR,134,0.0,438
PMW,133,0.0,441
PT,110,0.0,399
RAI,105,0.0,162
RAT,176,0.0,413
RB,73,0.0,380
RD,302,0.0,497
RH,95,0.0,368
RHN,112,0.0,289
RL,136,0.0,372
RLB,63,0.0,560
RM,90,0.0,56
RS,30,27.41935483870968,86
RSD,44,0.1290322580645161,344
RSN,156,0.0,370
RSW,89,0.0,562
RTA,80,0.0,414
RTB,69,0.0,461
RTD,70,0.0,344
RTN,75,0.0,414
RTST,65,0.0,461
RTZ,66,0.0,344
RV,101,0.0,105
RVS,50,27.41935483870968,107
SBK,122,0.0,137
SD,91,0.0,183
SDA,291,0.0,487
SDM,74,0.0,414
SDT,60,0.0,461
SDTB,57,0.0,461
SGL,146,0.0,123
SGN,170,0.0,530
SHL,117,0.0,173
SK,275,0.0,416
SKND,274,0.0,416
SM,95,0.0,105
SN,124,0.0,138
SOG,144,0.0,124
SPTN,136,0.0,454
SPTZ,134,0.0,454
SRN,108,0.0,134
SSH,116,0.0,587
ST,90,0.0,183
STD,115,0.0,105
STM,286,0.0,493
STV,304,0.0,424
STZ,89,0.0,183
SWD,275,0.0,481
SWK,200,0.0,463
TB,1,59.354838709677416,0
TBG,121,0.0,404
TBR,4,30.096774193548388,0
TBU,0,0.0,0
TG,95,0.0,76
TL,57,0.0,129
TPSW,55,0.0,129
TWL,135,0.0,436
UHM,299,0.0,497
UHZ,296,0.0,497
UST,291,0.0,496
UT,71,0.0,86
UTG,133,0.0,476
UTLN,67,0.0,210
UTLR,74,0.0,159
UTO,74,0.0,159
UTT,76,0.0,159
UTVR,70,0.0,210
UTZL,73,0.0,159
VB,96,0.0,606
VD,126,0.0,370
VDL,138,0.0,124
VDM,291,0.0,494
VEM,118,0.0,370
VG,26,0.0,56
VH,116,0.0,587
VHP,182,0.0,507
VK,147,0.0,124
VL,90,0.0,75
VLB,98,0.0,170
VNDC,104,0.0,288
VNDW,103,0.0,288
VP,91,0.0,368
VRY,105,0.0,171
VS,119,0.0,376
VSS,118,0.0,349
VST,103,0.0,580
VSV,128,0.0,404
VTN,78,0.0,164
VZ,175,0.0,506
WAD,102,0.0,499
WADN,103,0.0,499
WADT,101,0.0,499
