station,distance,services_per_day,n_of_disruptions
AC,28,0,109
AH,60,0,98
AHP,61,0,355
AHPR,63,0,357
AHZ,68,0,355
AKL,43,0,125
AKM,168,0,377
ALM,53,0,86
ALMB,59,0,217
ALMM,52,0,85
ALMO,61,0,217
ALMP,55,0,217
AMF,25,0,73
AMFS,28,0,313
AML,122,0,379
AMPO,50,0,85
AMR,82,0,358
AMRI,124,0,449
AMRN,83,0,433
ANA,112,0,444
APD,68,0,313
APDM,69,0,348
APDO,71,0,348
APG,231,0,407
APN,39,0,83
ARN,174,0,311
ASA,37,0,73
ASB,33,0,73
ASD,43,0,73
ASDL,50,0,352
ASDM,39,0,110
ASDZ,39,0,76
ASHD,34,0,87
ASN,169,0,327
ASS,47,0,331
ASSP,40,0,124
ATN,112,0,392
AVAT,31,0,319
BD,87,0,210
BDE,168,0,311
BDG,31,0,74
BDM,212,0,396
BDPB,92,0,533
BET,66,0,240
BF,216,0,396
BGN,122,0,280
BHDV,54,0,145
BHV,13,0,73
BK,161,0,311
BKF,101,0,416
BKG,100,0,412
BKL,16,0,76
BL,153,0,332
BLL,65,0,368
BMN,82,0,358
BMR,100,0,176
BN,131,0,449
BNC,44,0,314
BNK,10,0,0
BNN,41,0,313
BNZ,46,0,330
BP,210,0,344
BR,126,0,291
BRD,71,0,243
BRN,28,0,97
BSD,29,0,124
BSK,45,0,164
BSKS,46,0,187
BSMZ,27,0,74
BTL,56,0,197
BV,72,0,391
BZL,154,0,311
CAS,70,0,355
CK,90,0,173
CL,14,0,28
CO,146,0,347
CPS,49,0,158
CVM,178,0,328
DA,133,0,449
DB,14,0,44
DDN,126,0,363
DDR,71,0,158
DDRS,68,0,156
DDZD,72,0,275
DEI,190,0,344
DID,79,0,355
DL,103,0,327
DLD,16,0,93
DLN,150,0,361
DMN,42,0,124
DMNZ,37,0,76
DN,98,0,263
DR,76,0,355
DRH,70,0,387
DRON,102,0,231
DRP,197,0,358
DT,73,0,173
DTC,90,0,375
DTCH,88,0,375
DTCP,73,0,228
DV,83,0,313
DVC,87,0,379
DVD,35,0,73
DVN,69,0,357
DVNK,57,0,181
DWE,203,0,344
DZ,235,0,425
DZW,234,0,425
EC,141,0,308
ED,43,0,76
EDC,45,0,98
EDN,183,0,312
EEM,242,0,424
EGH,177,0,327
EGHM,178,0,327
EHS,75,0,316
EHV,76,0,197
EKZ,104,0,424
EML,48,0,316
EMN,166,0,362
EMNZ,162,0,361
ES,139,0,415
ESE,145,0,444
ESK,135,0,415
EST,67,0,127
ETN,98,0,533
FN,203,0,344
FWD,200,0,344
GBG,139,0,347
GBR,148,0,444
GD,36,0,73
GDG,33,0,73
GDM,22,0,81
GDR,95,0,392
GERP,195,0,380
GK,216,0,395
GLN,157,0,310
GN,197,0,380
GND,57,0,145
GNN,201,0,395
GO,116,0,355
GP,82,0,259
GR,48,0,143
GS,159,0,311
GV,65,0,158
GVC,64,0,158
GVM,65,0,266
GVMW,66,0,173
GW,173,0,334
GZ,77,0,212
HAD,66,0,368
HB,168,0,341
HBZM,60,0,155
HD,52,0,316
HDB,133,0,334
HDE,73,0,313
HDG,196,0,344
HDR,124,0,453
HDRZ,123,0,453
HFD,55,0,137
HGL,131,0,396
HGLG,129,0,396
HGLO,133,0,415
HGV,139,0,327
HGZ,208,0,403
HIL,72,0,181
HK,69,0,391
HKS,96,0,408
HLG,212,0,345
HLGH,213,0,349
HLM,62,0,331
HLMS,61,0,352
HLO,77,0,358
HM,89,0,259
HMBH,90,0,263
HMBV,86,0,259
HMH,88,0,259
HMN,53,0,127
HN,86,0,352
HNK,87,0,408
HNO,103,0,327
HNP,228,0,347
HON,102,0,379
HOR,16,0,73
HR,157,0,327
HRL,172,0,310
HRLW,174,0,327
HRN,191,0,380
HRT,116,0,291
HT,44,0,124
HTN,4,0,0
HTNC,5,0,28
HTO,45,0,197
HVL,31,0,313
HVS,22,0,73
HVSM,23,0,74
HVSP,21,0,73
HWD,89,0,434
HWZB,54,0,352
HZE,87,0,265
IJT,211,0,345
KBD,141,0,311
KBK,77,0,349
KLP,36,0,76
KMA,61,0,365
KMR,180,0,327
KMW,233,0,352
KPN,106,0,327
KPNZ,106,0,327
KRD,180,0,338
KRG,148,0,311
KTR,46,0,124
KW,205,0,401
KZ,55,0,355
LAA,65,0,187
LC,103,0,348
LDL,53,0,164
LDM,36,0,125
LEDN,54,0,171
LEER,266,0,419
LG,175,0,327
LLS,77,0,217
LLZM,49,0,158
LP,223,0,407
LTN,51,0,99
LTV,121,0,350
LUT,157,0,310
LW,186,0,327
LWC,189,0,344
MAS,11,0,73
MDB,178,0,311
MES,180,0,312
MG,196,0,344
MMLH,85,0,162
MP,119,0,327
MRB,125,0,334
MRN,22,0,76
MT,174,0,310
MTH,206,0,403
MTN,177,0,312
MTR,175,0,312
MZ,97,0,270
NDB,28,0,74
NH,165,0,341
NKK,36,0,313
NM,75,0,141
NMD,80,0,162
NMGO,78,0,162
NMH,78,0,162
NML,74,0,141
NS,64,0,313
NSCH,241,0,410
NVD,123,0,327
NVP,60,0,265
NWK,45,0,158
O,63,0,197
OBD,95,0,444
ODB,102,0,280
ODZ,142,0,415
OMN,114,0,334
OP,50,0,127
OST,93,0,379
OT,65,0,240
OTB,56,0,98
OVN,64,0,368
OW,62,0,200
PMO,68,0,353
PMR,67,0,352
PMW,66,0,355
PT,43,0,316
RAI,38,0,76
RAT,109,0,327
RB,138,0,311
RD,235,0,411
RH,70,0,358
RHN,45,0,79
RL,108,0,350
RLB,67,0,237
RM,128,0,259
RS,51,0,200
RSD,109,0,275
RSN,109,0,379
RSW,68,0,173
RTA,50,0,158
RTB,61,0,228
RTD,60,0,158
RTN,55,0,160
RTST,65,0,237
RTZ,64,0,237
RV,139,0,308
RVS,71,0,218
SBK,160,0,340
SD,24,0,97
SDA,224,0,401
SDM,64,0,228
SDT,61,0,155
SDTB,64,0,156
SGL,184,0,326
SGN,103,0,444
SHL,50,0,87
SK,208,0,344
SKND,207,0,344
SM,133,0,308
SN,162,0,341
SOG,182,0,327
SPTN,69,0,386
SPTZ,67,0,386
SRN,146,0,337
SSH,62,0,181
ST,23,0,97
STD,153,0,308
STM,219,0,407
STV,237,0,352
STZ,22,0,97
SWD,208,0,395
SWK,133,0,377
TB,66,0,197
TBG,96,0,392
TBR,71,0,210
TBU,67,0,210
TG,133,0,344
TL,34,0,124
TPSW,32,0,124
TWL,78,0,348
UHM,232,0,411
UHZ,229,0,411
UST,224,0,410
UT,4,0,0
UTG,66,0,390
UTLR,7,0,73
UTM,12,0,73
UTO,7,0,73
UTT,9,0,73
UTVR,3,0,0
UTZL,6,0,73
VB,61,0,158
VD,98,0,348
VDL,176,0,327
VDM,224,0,408
VEM,82,0,350
VG,48,0,197
VH,62,0,181
VHP,131,0,337
VK,185,0,327
VL,128,0,343
VLB,107,0,204
VNDC,37,0,78
VNDW,36,0,78
VP,66,0,358
VRY,114,0,205
VS,184,0,313
VSS,183,0,313
VST,59,0,266
VSV,103,0,392
VTN,11,0,78
VZ,128,0,449
WAD,44,0,158
WADN,45,0,158
WADT,43,0,158
WC,78,0,221
WD,20,0,73
WDN,117,0,386
WF,52,0,98
WFM,221,0,410
WH,100,0,389
WK,224,0,347
WL,85,0,375
WM,59,0,355
WP,37,0,85
WR,251,0,419
WS,229,0,410
WSM,213,0,396
WT,104,0,259
WTV,65,0,357
WV,146,0,327
WW,124,0,411
WWW,125,0,411
WZ,82,0,326
YPB,57,0,158
ZA,56,0,127
ZB,216,0,404
ZBM,31,0,124
ZD,53,0,352
ZDK,56,0,355
ZH,209,0,395
ZL,91,0,313
ZLSH,96,0,327
ZLW,86,0,275
ZP,86,0,348
ZTM,52,0,158
ZTMO,51,0,158
ZV,74,0,355
ZVB,94,0,280
ZVT,70,0,369
ZWD,73,0,275
ZZS,56,0,355
