Station Code,Distance from GVM,Services from/to GVM,Disruptions on path to GVM
AC,62,0.0,159
AH,119,0.0,266
AHP,120,0.0,523
AHPR,122,0.0,523
AHZ,127,0.0,523
AKL,75,0.0,246
AKM,225,0.0,497
ALM,80,23.161290322580644,219
ALMB,86,20.70967741935484,350
ALMM,79,23.161290322580644,163
ALMO,88,20.70967741935484,350
ALMP,82,20.70967741935484,350
AMF,82,0.0,193
AMFS,85,0.0,433
AML,179,0.0,499
AMPO,77,23.161290322580644,163
AMR,75,0.0,135
AMRI,181,0.0,569
AMRN,76,0.0,210
ANA,105,0.0,221
APD,125,0.0,433
APDM,126,0.0,468
APDO,128,0.0,468
APG,288,0.0,527
APN,26,0.0,102
ARN,150,0.0,191
ASA,57,0.0,148
ASB,57,0.0,145
ASD,59,21.225806451612904,21
ASDL,52,39.64516129032258,145
ASDM,59,19.70967741935484,185
ASDZ,51,3.419354838709677,145
ASHD,58,0.0,159
ASN,226,0.0,447
ASS,55,39.67741935483871,0
ASSP,60,19.741935483870968,199
ATN,171,0.0,560
AVAT,88,0.0,439
BD,77,0.0,186
BDE,185,0.0,34
BDG,34,0.0,183
BDM,269,0.0,516
BDPB,72,0.0,238
BET,125,0.0,565
BF,273,0.0,516
BGN,98,0.0,237
BHDV,64,0.0,244
BHV,70,0.0,266
BK,180,0.0,35
BKF,109,0.0,85
BKG,108,0.0,81
BKL,64,0.0,193
BL,210,0.0,447
BLL,43,0.0,95
BMN,141,0.0,526
BMR,163,0.0,558
BN,188,0.0,569
BNC,101,0.0,434
BNK,69,0.0,266
BNN,98,0.0,433
BNZ,103,0.0,450
BP,267,0.0,450
BR,185,0.0,603
BRD,38,0.0,192
BRN,85,0.0,290
BSD,89,0.0,264
BSK,32,0.0,183
BSKS,33,0.0,206
BSMZ,74,0.0,174
BTL,115,0.0,522
BV,53,0.0,97
BZL,130,0.0,268
CAS,63,0.0,132
CK,153,0.0,555
CL,79,0.0,294
CO,203,0.0,467
CPS,38,0.0,188
CVM,159,0.0,33
DA,190,0.0,569
DB,73,0.0,266
DDN,183,0.0,483
DDR,47,0.0,116
DDRS,50,0.0,233
DDZD,48,0.0,233
DEI,247,0.0,450
DID,138,0.0,523
DL,160,0.0,447
DLD,73,0.0,286
DLN,207,0.0,481
DMN,62,19.741935483870968,199
DMNZ,57,3.419354838709677,148
DN,157,0.0,575
DR,135,0.0,523
DRH,48,0.0,96
DRON,129,18.258064516129032,364
DRP,254,0.0,464
DT,13,0.0,15
DTC,149,0.0,543
DTCH,147,0.0,543
DTCP,14,0.0,116
DV,140,0.0,433
DVC,144,0.0,468
DVD,55,3.419354838709677,145
DVN,128,0.0,525
DVNK,8,61.25806451612903,0
DWE,260,0.0,450
DZ,292,0.0,545
DZW,291,0.0,545
EC,184,0.0,36
ED,102,0.0,266
EDC,104,0.0,288
EDN,188,0.0,34
EEM,299,0.0,544
EGH,158,0.0,32
EGHM,159,0.0,32
EHS,134,0.0,641
EHV,135,0.0,509
EKZ,112,0.0,93
EML,105,0.0,433
EMN,223,0.0,482
EMNZ,219,0.0,481
ES,196,0.0,535
ESK,192,0.0,535
EST,130,0.0,523
ETN,88,0.0,509
FN,260,0.0,450
FWD,257,0.0,450
GBG,196,0.0,467
GD,32,0.0,29
GDG,35,0.0,114
GDM,87,0.0,266
GDR,154,0.0,560
GERP,252,0.0,500
GK,273,0.0,515
GLN,168,0.0,33
GN,254,0.0,500
GND,61,0.0,234
GNN,258,0.0,515
GO,173,0.0,475
GP,141,0.0,571
GR,70,0.0,244
GS,135,0.0,191
GV,5,0.0,0
GVC,4,60.2258064516129,0
GVM,0,0.0,0
GVMW,6,0.0,15
GW,230,0.0,504
GZ,87,0.0,509
HAD,36,17.612903225806452,95
HB,157,0.0,32
HBZM,58,0.0,234
HD,109,0.0,436
HDB,190,0.0,454
HDE,130,0.0,433
HDG,253,0.0,450
HDR,117,0.0,230
HDRZ,116,0.0,230
HFD,35,43.193548387096776,95
HGL,188,0.0,516
HGLG,186,0.0,516
HGLO,190,0.0,535
HGV,196,0.0,447
HGZ,265,0.0,523
HIL,29,17.612903225806452,95
HK,56,0.0,115
HKS,104,0.0,77
HLG,269,0.0,451
HLGH,270,0.0,455
HLM,40,17.64516129032258,95
HLMS,41,0.032258064516129,85
HLO,70,0.0,115
HM,148,0.0,571
HMBH,149,0.0,575
HMBV,145,0.0,571
HMH,147,0.0,571
HMN,118,0.0,312
HN,94,18.483870967741936,21
HNK,95,18.483870967741936,77
HNO,160,0.0,447
HNP,285,0.0,453
HON,159,0.0,468
HOR,73,0.0,266
HR,214,0.0,504
HRL,153,0.0,15
HRLW,155,0.0,32
HRN,248,0.0,500
HRT,175,0.0,603
HT,109,0.0,266
HTN,69,0.0,266
HTNC,70,0.0,294
HTO,110,0.0,339
HVL,88,0.0,433
HVS,79,0.0,219
HVSM,78,0.0,207
HVSP,78,0.0,266
HWD,82,0.0,211
HWZB,48,0.032258064516129,0
HZE,146,0.0,577
IJT,268,0.0,451
KBD,117,0.0,191
KBK,134,0.0,469
KLP,95,0.0,266
KMA,64,0.0,116
KMR,161,0.0,32
KMW,290,0.0,458
KPN,163,0.0,447
KPNZ,146,18.258064516129032,365
KRD,161,0.0,43
KRG,124,0.0,191
KTR,111,0.0,309
KW,262,0.0,521
KZ,63,0.0,24
LAA,3,60.2258064516129,0
LC,160,0.0,468
LDL,12,0.0,95
LDM,82,0.0,264
LEDN,11,61.25806451612903,85
LG,156,0.0,32
LLS,104,19.741935483870968,350
LLZM,19,0.0,29
LP,280,0.0,527
LTN,108,0.0,450
LTV,178,0.0,470
LUT,176,0.0,34
LW,243,0.0,433
LWC,246,0.0,450
MAS,68,0.0,266
MDB,154,0.0,218
MES,173,0.0,32
MG,253,0.0,450
MMLH,148,0.0,544
MP,176,0.0,447
MRB,182,0.0,454
MRN,81,0.0,298
MT,179,0.0,32
MTH,263,0.0,523
MTN,176,0.0,46
MTR,180,0.0,34
MZ,156,0.0,582
NDB,73,0.0,163
NH,160,0.0,32
NKK,93,0.0,433
NM,138,0.0,523
NMD,143,0.0,544
NMGO,141,0.0,544
NMH,141,0.0,544
NML,137,0.0,537
NS,121,0.0,433
NSCH,298,0.0,530
NVD,180,0.0,456
NVP,30,43.16129032258065,95
NWK,41,0.0,114
O,128,0.0,339
OBD,88,0.0,221
ODB,78,0.0,238
ODZ,199,0.0,535
OMN,171,0.0,454
OP,115,0.0,312
OST,150,0.0,499
OT,106,0.0,522
OTB,115,0.0,288
OVN,42,0.0,95
OW,127,0.0,339
PMO,76,18.483870967741936,21
PMR,75,18.483870967741936,21
PMW,74,18.483870967741936,24
PT,100,0.0,433
RAI,52,3.419354838709677,219
RAT,166,0.0,447
RB,114,0.0,238
RD,292,0.0,531
RH,129,0.0,524
RHN,104,0.0,301
RL,165,0.0,470
RLB,34,0.0,186
RM,187,0.0,571
RS,116,0.0,339
RSD,85,0.0,186
RSN,166,0.0,468
RSW,8,0.0,15
RTA,37,0.0,186
RTB,28,0.0,186
RTD,27,0.0,116
RTN,32,0.0,186
RTST,32,0.0,186
RTZ,31,0.0,186
RV,198,0.0,620
RVS,136,0.0,360
SBK,165,0.0,32
SD,81,0.0,290
SDA,281,0.0,521
SDM,23,0.0,116
SDT,57,0.0,233
SDTB,54,0.0,233
SGL,169,0.0,32
SGN,96,0.0,221
SHL,40,43.193548387096776,95
SK,265,0.0,450
SKND,264,0.0,450
SM,192,0.0,620
SN,163,0.0,32
SOG,163,0.0,32
