station,distance,services_per_day,n_of_disruptions
AC,90,0,185
AH,44,0,42
AHP,45,0,299
AHPR,47,0,301
AHZ,36,0,56
AKL,61,0,120
AKM,197,0,442
ALM,115,0,162
ALMB,121,0,293
ALMM,114,0,161
ALMO,123,0,293
ALMP,117,0,293
AMF,87,0,149
AMFS,90,0,389
AML,128,0,368
AMPO,112,0,161
AMR,144,0,434
AMRI,130,0,438
AMRN,145,0,509
ANA,174,0,520
APD,91,0,302
APDM,90,0,303
APDO,94,0,337
APG,260,0,472
APN,101,0,159
ARN,150,0,448
ASA,99,0,149
ASB,95,0,149
ASD,105,0,149
ASDL,112,0,428
ASDM,101,0,186
ASDZ,101,0,152
ASHD,96,0,163
ASN,198,0,392
ASS,109,0,407
ASSP,102,0,200
ATN,96,0,336
AVAT,93,0,395
BD,61,0,89
BDE,142,0,190
BDG,93,0,150
BDM,241,0,461
BDPB,66,0,412
BET,40,0,119
BF,245,0,461
BGN,98,0,417
BHDV,72,0,140
BHV,75,0,149
BK,135,0,190
BKF,163,0,492
BKG,162,0,488
BKL,78,0,152
BL,182,0,397
BLL,127,0,444
BMN,66,0,302
BMR,50,0,56
BN,123,0,369
BNC,76,0,322
BNK,72,0,200
BNN,79,0,338
BNZ,74,0,322
BP,239,0,409
BR,85,0,85
BRD,98,0,270
BRN,90,0,173
BSD,47,0,119
BSK,107,0,240
BSKS,108,0,263
BSMZ,89,0,150
BTL,30,0,76
BV,134,0,467
BZL,130,0,448
CAS,132,0,431
CK,40,0,53
CL,48,0,119
CO,168,0,455
CPS,111,0,234
CVM,152,0,207
DA,139,0,438
DB,76,0,244
DDN,113,0,317
DDR,89,0,153
DDRS,86,0,151
DDZD,90,0,435
DEI,219,0,409
DID,63,0,299
DL,132,0,392
DLD,78,0,169
DLN,172,0,469
DMN,104,0,200
DMNZ,99,0,152
DN,72,0,142
DR,60,0,299
DRH,132,0,463
DRON,152,0,392
DRP,226,0,423
DT,123,0,340
DTC,74,0,319
DTCH,72,0,319
DTCP,122,0,340
DV,89,0,302
DVC,93,0,368
DVD,97,0,149
DVN,53,0,301
DVNK,119,0,257
DWE,232,0,409
DZ,264,0,490
DZW,263,0,490
EC,115,0,187
ED,61,0,299
EDC,63,0,321
EDN,157,0,191
EEM,271,0,489
EGH,151,0,206
EGHM,152,0,206
EHS,49,0,195
EHV,50,0,76
EKZ,166,0,500
EML,110,0,392
EMN,188,0,470
EMNZ,184,0,469
ES,126,0,369
ESE,132,0,398
ESK,122,0,369
EST,33,0,42
ETN,72,0,412
FN,232,0,409
FWD,229,0,409
GBG,161,0,455
GBR,135,0,398
GD,98,0,149
GDG,95,0,149
GDM,40,0,76
GDR,79,0,336
GERP,224,0,445
GK,245,0,460
GLN,131,0,189
GN,226,0,445
GND,75,0,140
GNN,230,0,460
GO,103,0,309
GP,56,0,138
GR,66,0,138
GS,135,0,448
GV,127,0,234
GVC,126,0,234
GVM,127,0,342
GVMW,128,0,249
GW,202,0,399
GZ,51,0,91
HAD,128,0,444
HB,142,0,220
HBZM,78,0,150
HD,114,0,392
HDB,155,0,442
HDE,135,0,389
HDG,225,0,409
HDR,186,0,529
HDRZ,185,0,529
HFD,117,0,213
HGL,118,0,350
HGLG,116,0,350
HGLO,120,0,369
HGV,168,0,392
HGZ,237,0,468
HIL,134,0,257
HK,131,0,467
HKS,158,0,484
HLG,241,0,410
HLGH,242,0,414
HLM,124,0,407
HLMS,123,0,428
HLO,139,0,434
HM,63,0,138
HMBH,64,0,142
HMBV,60,0,138
HMH,62,0,138
HMN,47,0,56
HN,148,0,428
HNK,149,0,484
HNO,132,0,392
HNP,257,0,412
HON,108,0,368
HOR,78,0,149
HR,186,0,392
HRL,146,0,189
HRLW,148,0,206
HRN,220,0,445
HRT,90,0,170
HT,18,0,3
HTN,58,0,172
HTNC,57,0,172
HTO,17,0,0
HVL,89,0,339
HVS,84,0,149
HVSM,85,0,150
HVSP,83,0,149
HWD,151,0,510
HWZB,116,0,428
HZE,61,0,144
IJT,240,0,410
KBD,117,0,448
KBK,82,0,302
KLP,68,0,321
KMA,123,0,441
KMR,154,0,206
KMW,262,0,417
KPN,135,0,392
KPNZ,135,0,392
KRD,154,0,217
KRG,124,0,448
KTR,54,0,56
KW,234,0,466
KZ,117,0,431
LAA,127,0,263
LC,90,0,302
LDL,115,0,240
LDM,54,0,120
LEDN,116,0,247
LEER,295,0,484
LG,149,0,206
LLS,139,0,293
LLZM,111,0,234
LP,252,0,472
LTN,69,0,322
LTV,108,0,304
LUT,131,0,189
LW,215,0,392
LWC,218,0,409
MAS,73,0,149
MDB,154,0,448
MES,154,0,191
MG,225,0,409
MMLH,35,0,42
MP,148,0,392
MRB,147,0,439
MRN,84,0,276
MT,148,0,189
MTH,235,0,468
MTN,151,0,191
MTR,149,0,191
MZ,71,0,149
NDB,90,0,150
NH,139,0,220
NKK,98,0,389
NM,25,0,21
NMD,20,0,24
NMGO,22,0,25
NMH,28,0,42
NML,26,0,42
NS,126,0,389
NSCH,270,0,475
NVD,131,0,375
NVP,122,0,341
NWK,107,0,234
O,1,0,0
OBD,157,0,520
ODB,92,0,417
ODZ,129,0,369
OMN,143,0,399
OP,50,0,56
OST,99,0,368
OT,39,0,119
OTB,48,0,299
OVN,126,0,444
PMO,130,0,429
PMR,129,0,428
PMW,128,0,431
PT,105,0,392
RAI,100,0,152
RAT,138,0,392
RB,114,0,448
RD,264,0,476
RH,54,0,302
RHN,107,0,279
RL,95,0,304
RLB,102,0,369
RM,102,0,138
RS,11,0,0
RSD,85,0,412
RSN,115,0,368
RSW,128,0,441
RTA,112,0,234
RTB,108,0,270
RTD,109,0,270
RTN,114,0,340
RTST,104,0,375
RTZ,105,0,375
RV,99,0,157
RVS,9,0,21
SBK,134,0,219
SD,86,0,173
SDA,253,0,466
SDM,113,0,340
SDT,79,0,150
SDTB,82,0,151
SGL,158,0,205
SGN,165,0,520
SHL,112,0,163
SK,237,0,409
SKND,236,0,409
SM,105,0,171
SN,136,0,220
SOG,156,0,206
SPTN,131,0,462
SPTZ,129,0,462
SRN,120,0,216
SSH,124,0,257
ST,85,0,173
STD,127,0,187
STM,248,0,472
STV,266,0,417
STZ,84,0,173
SWD,237,0,460
SWK,162,0,442
TB,40,0,76
TBG,80,0,336
TBR,45,0,89
TBU,41,0,89
TG,92,0,138
TL,52,0,119
TPSW,50,0,119
TWL,94,0,368
UHM,261,0,476
UHZ,258,0,476
UST,253,0,475
UT,66,0,76
UTG,128,0,466
UTLN,62,0,200
UTLR,69,0,149
UTM,74,0,149
UTO,69,0,149
UTT,71,0,149
UTVR,65,0,200
UTZL,68,0,149
VB,123,0,234
VD,85,0,302
VDL,150,0,206
VDM,253,0,473
VEM,77,0,302
VG,22,0,76
VH,124,0,257
VHP,141,0,439
VK,159,0,206
VL,87,0,137
VLB,57,0,84
VNDC,99,0,278
VNDW,98,0,278
VP,50,0,302
VRY,64,0,85
VS,160,0,450
VSS,159,0,450
VST,121,0,342
VSV,87,0,336
VTN,73,0,154
VZ,134,0,438
WAD,106,0,234
WADN,107,0,234
WADT,105,0,234
WC,16,0,24
WD,82,0,149
WDN,123,0,375
WF,52,0,299
WFM,250,0,475
WH,106,0,378
WK,253,0,412
WL,69,0,319
WM,121,0,431
WP,99,0,161
WR,280,0,484
WS,258,0,475
WSM,242,0,461
WT,78,0,138
WTV,49,0,301
WV,175,0,392
WW,108,0,355
WWW,109,0,355
WZ,129,0,392
YPB,119,0,234
ZA,44,0,56
ZB,245,0,469
ZBM,31,0,76
ZD,115,0,428
ZDK,118,0,431
ZH,238,0,460
ZL,120,0,378
ZLSH,125,0,392
ZLW,76,0,430
ZP,73,0,302
ZTM,114,0,234
ZTMO,113,0,234
ZV,58,0,299
ZVB,84,0,435
ZVT,132,0,445
ZWD,91,0,270
ZZS,118,0,431
